satellite_code,satellite_name,telemetry_code,telemetry_label,description
XW_04,"XW-04|XW04|XW 04","TMKP500,TMKP501","状态标志|温度","示例卫星 XW-04"
tm_all_LZ04,"LZ-04|LZ04|江淮","TMKP501,TMKP502,TMKP503,TMKP504,TMKP505,TMKP506,TMKP507","位置速度","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","TMKP808,TMKP809,TMKP810,TMKP811,TMKP812","星敏A遥测","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","TMKP813,TMKP814,TMKP815,TMKP816,TMKP817","星敏B遥测","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","package_time_seconds_0505,TMKP608,TMKP609,TMKP610","陀螺A遥测","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","package_time_seconds_0505,TMKP611,TMKP612,TMKP613","陀螺B遥测","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","package_time_seconds_050A,TMKQ107,TMKQ103","飞轮A遥测","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","package_time_seconds_050A,TMKQ108,TMKQ104","飞轮B遥测","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","package_time_seconds_050A,TMKQ109,TMKQ105","飞轮C遥测","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","package_time_seconds_050A,TMKQ110,TMKQ106","飞轮D遥测","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","TMKA601,TMKA617,TMKA633,TMKA646,TMKA659,TMKA666","敏感器错误统计","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","MKA673,TMKA679,TMKA685,TMKA691,TMKA697","执行器错误统计","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","package_time_seconds_0502,TMKP326,TMKP327,TMKP328,TMKP329,TMKP330,TMKP331","姿态控制精度分析相关遥测","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","package_time_seconds_0531,TMKA697","GNSS错误计数","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","TMKA736","GNSS故障置出计数","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","TMKa1412,TMKa1414","GNSS定位星数","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","TMKP222","卫星纬度","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","TMKP417","平根半长轴","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","TMKP201","降交点地方时","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","TMKR322,TMKR323","电推遥测","示例卫星 LZ04"
tm_all_LZ04,"LZ-04|LZ04|江淮","package_time_seconds_0507,TMKP809,TMKP810,TMKP811,TMKP812,TMKP814,TMKP815,TMKP816,TMKP817","热变形分析相关遥测","示例卫星 LZ04"
ZQ_01,"ZQ-01|ZQ01","TMKP600","电源温度","示例卫星 ZQ-01"
YX_02,"YX-2|YX02|遥测二号","TMKP700,TMKP701,TMKP702","电源|电流|电压","示例卫星 YX_02"